Title,Year,Released,Genre,Director,Actors,Plot,Language,Country,IMDB Rating
Bajrang Aur Ali,2024,07-Jun-24,Drama,Jaiveer,"Riddhi Gupta, Jaiveer, Yugant Badri Pandey",Is Religion bigger than Humanity?,Hindi,India,8.3
Blackout,2024,07-Jun-24,"Comedy, Thriller",Devang Bhavsar,"Vikrant Massey, Sunil Grover, Mouni Roy","The streets of Pune, where a single night of darkness engulfs the city in mystery, as crime reporter Lenny, gets entangled in a web of greed and misfortune.","Hindi, Tamil, Malayalam, Kannada, Telugu",India,6.5
Munjya,2024,07-Jun-24,"Comedy, Horror",Aditya Sarpotdar,"Sharvari, Abhay Verma, Mona Singh","A young man's visit to his native village unveils a family secret and a vengeful spirit, the Munjya, who wants to get married. Now the young man must fight to protect himself and his love from Munjya's clutches.",Hindi,India,6.5
Phooli,2024,07-Jun-24,Drama,Avinash Dhyani,"Sanjay Agarwal, Riya Baluni, Rishi Raj Bhatt",A young girl Phooli wants to study and pursue her dreams despite her circumstances. Later a 'Jaadugar' enters her life and helps her overcome her situations and becomes an IPS officer.,Hindi,India,
Chandu Champion,2024,14-Jun-24,"Action, Biography, Drama",Kabir Khan,"Kartik Aaryan, Vijay Raaz, Bhuvan Arora",A man who faced one adversary after another with an undying spirit. His unwavering zeal and never give up attitude led to India's first individual gold medal in any form of the Olympics.,Hindi,India,7.9
Manihar,2024,14-Jun-24,Comedy,Sanjeev Kumar Rajput,"Krishna Bhatt, Pankaj Berry, Badrul Islam",,Hindi,India,
Luv Ki Arrange Marriage,2024,14-Jun-24,"Comedy, Family",Ishrat R. Khan,"Ravi Chauhan, Annu Kapoor, Avneet Kaur",Luv is in love with Ishika and wants to ask for her hand in marriage. A laughter riot follows when his widowed father falls in love with Ishika's mother. Which couple has a more successful love story?,,India,4.3
Ishq Vishk Rebound,2024,21-Jun-24,"Comedy, Drama",Nipun Dharmadhikari,"Rohit Saraf, Pashmina Roshan, Jibraan Khan","Follows the lives of four young people who become enmeshed in a web of friendship, love, and self-discovery.",Hindi,India,6.9
Maharaj,2024,21-Jun-24,"Biography, Crime, Drama",Siddharth P Malhotra,"Junaid Khan, Jaideep Ahlawat, Shalini Pandey","Based on a real-life historic court case, a bold journalist questions a revered leader's immoral behavior.",Hindi,"India, United States",6.5
Hamare Baarah,2024,21-Jun-24,Drama,Kamal Chandra,"Rahul Bagga, Aditi Bhatpahri, Harish Chhabra","A woman takes her father to court to allow her mother, who is in the midst of a risky pregnancy, the right to terminate the pregnancy in order to save her life.",Hindi,India,7.4
Jahangir National University,2024,21-Jun-24,Drama,Vinay Sharma,"Urvashi Rautela, Siddharth Bodke, Ravi Kishan","Sourabh, a JNU student, opposes anti-national left-wing activities. Guided by Akhilesh Pathak, he finds his partner Richa. Facing challenges from the left, Sourabh and the right-wing gain prominence when he wins a pivotal JNU elec...",Hindi,India,6.1
Rautu Ka Raaz,2024,28-Jun-24,"Crime, Drama, Mystery",Anand Surapur,"Nawazuddin Siddiqui, Rajesh Kumar, Atul Tiwari","After the mysterious death of a warden of Sevadham school, it is up to inspector Negi who suffers from PTSD to solve the high-profile investigation which leads him to disturbing facts.",Hindi,India,
