Title,Year,Released,Genre,Director,Actors,Plot,Language,Country,IMDB Rating
A Shyam Gopal Varma Film,2015,01-Jan-15,"Comedy, Thriller",C.S. Reddy,"Shafi, Jayaprakash Reddy, Jeeva","When a popular crime film director gets kidnapped, he realizes the plot is thicker than his own films.",Telugu,India,5.9
Gopala Gopala,2015,10-Jan-15,"Comedy, Drama, Fantasy",Kishore Kumar Pardasani,"Venkatesh Daggubati, Pawan Kalyan, Shriya Saran",The film is a remake of the 2012 Hindi film OMG and is about an atheist Gopala Rao who sues god after losing his shop in an earthquake and the consequences face by him when religious organisations revolt against him and Krishna visits him as a human to guide him.,Telugu,India,7.2
Pataas,2015,23-Jan-15,"Action, Comedy, Crime",Anil Ravipudi,"Nandamuri Kalyan Ram, Ashutosh Rana, Sai Kumar","ACP Kalyan Sinha is transfered to Hyderabad. But his negative attitude makes trouble for the Police Department. Why is Kalyan Sinha behaving like this, and is there a hidden agenda in his mind.",Telugu,India,6.5
Beeruva,2015,23-Jan-15,Comedy,Kanmani,"Ajay, Anitha Chowdary, Sundeep Kishan","Sanju, a careless young man, falls head over heels in love with Swathi. He, however, gets more than he bargained for when he learns that she is the daughter of an underworld kingpin.",Telugu,India,5.7
Intelligent Idiots,2015,23-Jan-15,Crime,Balaji Sanala,"Prabhjeet Kaur, Vikram Shekar",,Telugu,India,5.1
Top Rankers,2015,30-Jan-15,Drama,G. Nageswara Rao,"Giri Babu, Sony Charishta, Krishnamraju, Ashok Kumar",A Harsh and strict professor mentally evolves upon the event of his own daughter's suicide to reform as a more considerate individual and henceforth makes himself instrumental in becoming a role model for transforming the education system.,Telugu,India,
Ladies & Gentlemen,2015,30-Jan-15,,P.B. Manjunath,"Bhasha, Jasmin Bhasin, Swathi Deekshith",,Telugu,India,7.3
Dorakadu,2015,06-Feb-15,"Horror, Romance",Vara Prasad Varma,"Ajay, Babu Mohan, Vijaya Bhaskar",,Telugu,India,
Gaddam Gang,2015,06-Feb-15,"Comedy, Crime","Santhosh P. Jayakumar, Santhosh Peter Jaykumar","Achu, Giri Babu, Raghu Babu","Dasu and his gang of newbies, kidnaps a rich politician's son to extract money from him, with his new-found uncanny rules of kidnapping. All his plannings go haywire when an insane cop is brought to handle the case.",Telugu,India,5.4
Malli Malli Idi Rani Roju,2015,06-Feb-15,"Musical, Romance",Kranthi Madhav,"Sharwanand, Nithya Menen, Punarnavi Bhupalam",Malli Malli Idi Rani Roju is a feel good love story which stays within your heart.,Telugu,India,7.5
Moodu Mukkallo Cheppalante,2015,06-Feb-15,Comedy,Madhumita Sundararaman,"Brahmanandam, Aditi Chengappa, Venkatesh Harinathan",,Telugu,India,
Pesarattu,2015,06-Feb-15,"Comedy, Family",Mahesh Kathi,"Nandu Vijay Krishna, Nikitha Narayan",Bhavana is a girl with commitment phobia wants to escape her engagement. What she does to escape her engagement and the confusion spiraling as a result drives the plot for this movie.,Telugu,India,2.9
Temper,2015,12-Feb-15,"Action, Crime, Drama",Puri Jagannadh,"N.T. Rama Rao Jr., Kajal Aggarwal, Prakash Raj","Daya (NTR) is a fully corrupted police officer who gets transferred to Vizag. There he joins hands with Walter Vasu(Prakash Raj)and treads the corruption route.Twist in the tale arises when Daya girlfriend(Kajal) gets accidentally kidnapped by Walter Vasu.This incident makes Daya very angry and he goes against Vasu and his empire.During this time, Daya also comes to know that there is a bigger motive behind this kidnapping. What is that motive and will Daya manage to find out the truth and punish the culprits forms the rest of the story.",Telugu,India,7.4
Paddanandi Premalo Mari,2015,14-Feb-15,Drama,Mahesh Upputuri,"Krishna Murali Posani, Varun Sandesh, Vithika Sheru",Ram falls in love with Sravani. But a rowdy villain wants to marry her and is after her. How will Ram help Sravani escape from this villain?,Telugu,India,
Bandipotu,2015,20-Feb-15,"Comedy, Crime, Drama",Mohana Krishna Indraganti,"Srinivas Avasarala, Sampoornesh Babu, Tanikella Bharani",A woman with the help of a con man avenges her father's backstabbers.,Telugu,India,6.3
Nuvvu Nenu Okatavudaam,2015,20-Feb-15,Romance,,"Banerjee, Chalaki Chanti, Haleem Khan, Tagubotu Ramesh",,Telugu,India,
Gayakudu,2015,01-Feb-15,Musical,Kamal G,"Guru Charan Kodur, Sai Pradeep Mocherla, Ali Reza","Gayakudu is a Telugu angsty teenager romantic love story. Siddhansh, the winner of Indian Idol and a singer. Eventhough after achieving alot of fame and money, he suffered with lack of love since his childhood. He will fall in love with Akshara who become a big fan of Siddhansh the singer and a brand new friend to Siddhu. She showers the love he has been craving for, but doesnt accepts his love.",Telugu,India,5.2
Bham Bolenath,2015,27-Mar-15,,Karthik Varma Dandu,"Akella, Boby, Naveen Chandra","The story of the film depicts the individual lives of two young men played by Navdeep and Naveen Chandra. Each of them have their own problems and need money to come out of it. They try different things but fail with each attempt. Loosing no hope, each of them plan a huge robbery and somehow succeed in it. Twist in the tale arises when a drug addict played by Pradeep Machiraju enters their life and creates havoc. Rest of the story is about how the entire confusion is cleared and how they come out of this mess successfully.",Telugu,India,6.4
Ramleela,2015,12-Nov-15,"Comedy, Drama",Vijay Kiran,"Chiranjeevi Sarja, Amulya, Urvashi","Ram helps a couple elope. It turns out that the girl is the daughter of a dreaded don. Through his misadventures, he falls in love with Chandrakala, who happens to be the don's other sister. All hell breaks loose when he finds out this truth.",Kannada,India,5.8
Surya vs. Surya,2015,06-Mar-15,Drama,Karthik Gattamneni,"Nikhil Siddharth, Tridha Choudhury, Madhoo","The film story revolves around a young man Surya (Nikhil Siddharth) who suffers with a heriditary disorder Porphyria, that prevents him from going outside during the day and enjoying the beauty of life during daytime. He is raised by his mom Madhoo. Additionally, he falls in love with a Tv anchor (Tridha Choudary). Be that as it may he doesn't advise about his medicinal condition to her as he reasons for alarm that she may respond contrarily. She feels sold out when she comes to think about it through others. Rest of the story is about how Surya picks up certainty and wins his affection back.",Telugu,India,6.6
Anandam Malli Modalaindi,2015,06-Mar-15,Drama,Akash,"Satyam Rajesh, Tagubotu Ramesh, Jayaprakash Reddy",,Telugu,India,
Tommy,2015,13-Mar-15,Comedy,Raja Vannem Reddy,"Lakshmi Alapati, Madhu Babu, Raghu Babu","A professor, Rajendra Prasad adapts a dog (Tommy) and Tommy becomes a member of the family in a short time. An untoward incident changes the family's life upside down. Tommy has a major role to perform since then. The way the dog has been trained to perform in the film is superb. All the scenes featuring the dog and Rajendra Prasad are quite emotional and have been executed well.",Telugu,India,7.6
Thappatadugu,2015,13-Mar-15,Drama,Sri Arun,"Naveena Jackson, Surabhi Swathi, Surya Teja",,Telugu,India,
Calling Bell,2015,21-Mar-15,Horror,PannaRoyal,"Sankeerth Maddipatla, Ravi Varma, Kishore Kumar G.","Newly married couple Karthik(Ravi Varma), Vyshali(Mamatha) leading their married life very happily in their villa. Suddenly Karthik realizes that she is not his wife, he is living with a ghost. Karthik with the help of Swamy(Gandhi) buried her in the garden . With out Karthik's knowledge Vishal (Naresh Kaveti) brother of Karthik and his four friends Riya(Vriti Khanna), Amar(Sankeerth), Nisha(Lucky), Harsha(Vamsee Ram) enter in to Karthik's villa to enjoy their vacation. After entering in to the villa they began to face some mysterious incidents. What are those incidents. How they faced it.",Telugu,India,6.9
Tungabhadra,2015,,Drama,Srinivas Krishna Gogineni,"Kota Srinivasa Rao, Sathyaraj, Thrigun","In a village infested with faction rivalry, the daughter of a factionist falls in love with a henchman of her father. Will their love fructify?",Telugu,India,5.8
Yevade Subramanyam,2015,20-Mar-15,"Adventure, Comedy, Drama",Nag Ashwin,"Nani, Malvika Nair, Vijay Deverakonda","Yevade Subramanyam has wrapped its shooting and the movie is reported to be the only Indian film to be shot at some of the highest points of Everest. Directed by Sekar Kammula's protege Nag Ashwin, Yevade Subramanyam is the journey of a guy who sets out to find his true self.",Telugu,India,7.4
Janda Pai Kapiraju,2015,21-Mar-15,"Action, Thriller",Samuthirakani,"Baby Angela, Siva Balaji, Tanikella Bharani","Arvind Nani who came to the city from a rural area, is a naive employee in a company. He cannot tolerate corruption, bribery, breaking rules, lavishness and the urban culture of youth in cities. He is caught by traffic police for a minor mistake though not of his own. Although he has all documents with him, he is asked a bribe by traffic policeman. When he refuses to pay the bribe, a complaint is booked against him and he is sentenced by the court, even though he complains about the bribe. Finally he does a sting operation with 2 of his friends and 10 honest employees in various government offices by applying for identy cards like PAN card, voter card, ration card for an anonymous person.",Telugu,India,6
Rey,2015,27-Mar-15,"Action, Music",Y.V.S. Chowdary,"Sai Dharam Tej, Saiyami Kher, Shraddha Das","Jenna (Shradda) is a famous ""Star"" Mexican pop singer who won two ""Best of the World"" titles in the competitions held at the epicenter of music USA. But to win it the third time she faces tough competition from Sandi (Farhad Shanawaz). A Mexican Mafia Don Dange (Arpit Ranka) who worships Jenna kills Sandi to eliminate the competition for her. Amrita (Saiyami Kher) from India, pledges to win the ""Best of the World"" title and joins a Jamaican College, Bob Marley to enter the competition. There she meets Rock (Sai Dharam Teja), who is a big flirt and never cares for any woman's feelings. He goes on flirting and using foul language with the girls. He annoys Amrita to the core. His life takes a sudden turn due to an incident, and he with his rock band decides to join Amrita in the competition. Jenna tries to create all sorts of troubles possible for the band very desperately. Why does Jenna need to stop Rock band? What is she afraid off? How will Rock answer her challenges and overcome them? Will Jenna win the third title or will Rock band create history?",Telugu,India,3.5
Jil,2015,27-Mar-15,Action,K.K. Radhakrishna Kumar,"Gopichand, Raashi Khanna, Kabir Duhan Singh","Jai (Gopichand) is a fire officer. He happens to help a stranger Ranganath (Brahmaji), who is the right man of Mumbai don Chota Naik (Kabir Duhan Singh). Ranganath turns informer and runs away with the Chota Naik""s money. Chota Nayak suspects Jai to be an accomplice of Ranganath and starts troubling him. The rest of the story is all about how Jai teaches a lesson to Chota Nayak for messing up with him.",Telugu,India,5.6
Avunu Part 2,2015,03-Apr-15,"Horror, Thriller",Ravi Babu,"Ravi Babu, Chakravarthii, Sanjjanaa Galrani","Harsha and Mohini try to put the past behind them and move into a plush apartment in the heart of the city. Armed with a talisman, Mohini starts feeling safe in the apartment with the knowledge that a lot of people lived close by. What she did not know was that Captain Raju's spirit had moved into the apartment with her. The talisman she wore around her neck thwarts Captain Raju's spirit from getting anywhere near Mohini. The spirit devises ingenuous ways to separate Mohini from the talisman but to no avail. Finally a quirk of fate makes Mohini remove the talisman from her body for a little while. That little time is enough for the spirit of an overjoyed Captain Raju to create mayhem.",Telugu,India,3.9
S-O Satyamurthy,2015,09-Apr-15,"Action, Drama",Trivikram Srinivas,"Allu Arjun, Upendra, Samantha Ruth Prabhu",Sathyamurthy is a billionaire businessman with great human values and he had a son viraj. Sathyamurthy dies in an accident. Viraj has 300 crores worth property and loans for the same amount. He has an option to go for insolvency and save 300 crores and live a happy life. But he foregoes 300 crores to make sure that his father image is not tarnished. Rest of the story is all about how far Viraj goes to live up to the values his father.,Telugu,India,7.1
Budugu,2015,17-Apr-15,Thriller,Manmohan,"Indu Anand, Sreedhar Rao Chennamaneni, Indraja","The story of Budugu revolves mainly around the central character of Bunny a 8 year old boy and his family. Bunny lives in a gated community in Hyderabad with his father Rakesh working as project manager of Metro Rail Project, working mother Pooja , younger sister dolly and their loving dog Troy. Bunny unlike kids of his age is generally silent and doesn't mingle with others. Rakesh busy with his project doesn't pay much attention at home. Pooja tries to balance her work life and family life. Fed up with the constant complaints from school and neighbors regarding bunny, Rakesh decides to send Bunny to boarding school against the wishes of Pooja and other family members. The endearing family drama plot from here takes twisting turn with the never seen violent and abnormal behavior of psychic Bunny and strange things happening in their life. When Bunny starts seeing people invisible to others, things begin to get really nasty. The family is worried about Bunny's increasing problems and their only hope is psychologist who discovers some very disturbing truths about Bunny. This psychological thriller engages you in a roller coaster ride with edge of the seat suspense through a cleverly oven plot.",Telugu,India,4.7
Kaai Raja Kaai,2015,23-Apr-15,,Siva Ganesh,"Santosh Kalwacherla, Ram Khanna, Maanas",,Telugu,India,5.8
Dohchay,2015,24-Apr-15,Action,Sudheer Varma,"Naga Chaitanya Akkineni, Kriti Sanon, Krishna Murali Posani",A conman faces his biggest threat when he is in urgent need for a lump sum and a policeman is after him to catch him red handed.,Telugu,India,5.8
Dagudumootha Dandakor,2015,09-May-15,"Drama, Family",R.K. Malineni,"Sara Arjun, Sidhu Jonnalagadda, Raghu Kumar Karumanchi",Dhagudu Mootha Dandakor is a thought provoking tale of sensitive family relationships narrated in an entertaining way. The film features Rajendra Prasad and Sara Arjun in the role of grandfather and granddaughter.,Telugu,India,
Lion,2015,14-May-15,"Action, Drama",Satya Deva,"Nandamuri Balakrishna, Trisha Krishnan, Radhika Apte",A man wakes up from coma and finds himself in the middle of a conspiracy hatched by the corrupt Chief Minister of the state.,Telugu,India,3.3
Dhee Ante Dhee,2015,15-May-15,"Action, Comedy, Romance",Srinivasa Rao Jonnalagadda,"Srikanth, Sonia Mann, Brahmaji",A police inspector and a teacher exchange their roles in a bid to understand each other's duties and responsibilities.,Telugu,India,4.9
Mosagallaku Mosagadu,2015,22-May-15,"Action, Comedy, Crime",Bose Nelluri,"Appalaraju, Chandramohan, Deva",Revolves around god statues stealing issues in India.,Telugu,India,6.2
365 Days,2015,22-May-15,"Drama, Romance",Ram Gopal Varma,"Raavi Kondala Rao, Nandu Vijay Krishna, Satya Krishnan",This film tracks a hasty marriage through its first 365 days.,Telugu,India,2.3
Pandaga Chesko,2015,29-May-15,"Action, Drama, Family",Gopichand Malineni,"Ram Pothineni, Rakul Preet Singh, Sai Kumar","The movie starts with Karthik (Ram) who runs a multimillion-dollar company in Portugal living with his family. Karthik (Ram) runs the company where he has employed his own father, brother, sister and keeps them on their toes to leave no stone unturned to take his company to greater heights. Meanwhile, he meets another multimillion- dollar women Anushka (Sonal Chauhan) for a business deal. Then she decides to propose Karthik (Ram) for marriage as a calculated move for their business also she (Sonal Chauhan) has to tie the knot with the right guy if she has to inherit her father's wealth. They both got engaged but karthik's family was disappointed of this proposal. After some days, one of the companies of Karthik (Ram) gets in to trouble due to a case registered by Green Army headed by Divya (Rakul Preet)against his factory and he heads to India to sort out the issue. He tries hard to convince Divya (Rakul Preet) but all goes in vain. Despite being engaged to Anushka (Sonal Chauhan), Karthik (Ram) goes to an extent to impress Divya (Rakul Preet) in an attempt of convincing her to withdraw the case. However Karthik (Ram) reveals his actual purpose of coming to India later as he is the son of Bhupathi's (Sampath Raj) sister, who has been staying away from family for twenty five years. Divya's father (Sampath) and his 3 brothers abandon their respective wives and send them back to their house to live with their own brother Sai Kumar. All this, because Sai Kumar refuses to marry Sampath's only sister. But again, that is a sacrifice by Sai Kumar because Sampath's sister herself confesses that she is in love with someone else. Sampath's sister turns out to be Ram's mother. After seeing the fight of Karthik (Ram) in attempt to save Divya (Rakul Preet) from brawlers, Bhupati (Sampath Raj) meets karthik(Ram) for marriage proposal with Divya (Rakul Preet). Karthik then goes to her village to reunite the family against all odds and marry Divya (Rakul Preet). Eventually,karthik (Ram) reunites the family which were separated for 25 years and marries to Divya (Rakul Preet) bringing Pandaga(Festival) for the family.",Telugu,India,5.4
Asura,2015,04-Jun-15,"Action, Drama","Krishna Vijay, Vasant Kumar Jurru","Ravi Varma, Priya Banerjee, Bhanu","In Asura, Nara Rohit plays a role of jailer of a prison full of extremely dangerous inmates. With his brutality, the hero becomes known as the most dangerous among the lot. However, as one prisoner starts teasing him with an intelligent game, the story shows how Rohit comes out of the troubles.",Telugu,India,6.4
Jyothi Lakshmi,2015,12-Jun-15,Drama,Puri Jagannadh,"Sampoornesh Babu, Brahmanandam, Satyadev Kancharana",Jyothi Lakshmi revolves around the life of a small time heroine struggling in the film industry and the perspectives of various people who have a low opinion about girls working in the film industry.,Telugu,India,5.7
Kerintha,2015,12-Jun-15,"Drama, Romance",Sai Kiran Adivi,"Sumanth Ashwin, Anitha Chowdary, Sri Divya",Journey of six students through out their college life where each one has their own issues to deal with.,Telugu,India,6.8
Krishnamma Kalipindi Iddarini,2015,19-Jun-15,"Drama, Romance",R. Chandru,"M.S. Narayana, Sudheer Babu Posani, Ramana Reddy Purelli","This film is the remake of the hit Kannada film - Charminar. This is the journey of love of a young boy. The film shows how love can inspire and aspire to be the best and give the best to the loved ones. A very youthful and musical entertainer to fill your hearts with joy. A timeless tale of true love. Come, experience the roller-coaster ride of LOVE. (Lots Of Varying Emotions)",Telugu,India,6.9
Tippu,2015,19-Jun-15,"Action, Drama, Romance",Prince Jagadeesh Daneti,"Karthik Raju, Kanikka Kapur, Chalapathi Rao","This is the beautifully crafted triangular love story between Karthik, Vaishnavi and Nithya showcasing pure love, friendship and innocence, extended by the revenge drama of Karthik against the brutality of the Hari Bhai and Kesu Bhai (the goon brothers of Mysore).",Telugu,India,3.7
Vinavayya Ramayya,2015,18-Jun-15,Romance,Gram Prasad,"Naga Anvesh, Brahmanandam, Srinivas Govind","Smitten with unrequited love, a young man inadvertently gets involved in the kidnapping of his beloved, ruining her arranged marriage. Can things be set straight?",Telugu,India,5
Jadoogadu,2015,26-Jun-15,Action,Yogie,"Sonarika Bhadoria, Parsa Mohava, Naga Shaurya",Backdrop of the story is about a go lucky village guy who goes to city determined to get rich and how he achieves it with his philosophy of working hard.,Telugu,India,4.8
Tiger,2015,26-Jun-15,"Action, Crime, Romance",Vi Anand,"Sundeep Kishan, Rahul Ravindran, Seerat Kapoor","Tiger, an aggressive young man, can do just about anything for his best friend Vishnu. When Vishnu falls in love with Ganga, the lives of the lovers are in danger. Will Tiger be able to save them?",Telugu,India,5.8
Superstar Kidnap,2015,03-Jul-15,Thriller,Sushanth Reddy,"Aadarsh Balakrishna, Bhupal, Shraddha Das",Three youngsters meet accidentally in a drug deal plan to kidnap superstar maheshbabu to come out of their financial and personal crisis.,Telugu,India,6.6
The Bells,2015,03-Jul-15,Action,Nellutla Praveen Chander,"Neha Deshpande, Sadhu Ram Krishna, Mimicry Moorthy","The Bells movie is romantic action entertainer written and directed by Nellutla Praveen Chander. In which, Rahul and Neha Deshpande are playing the main lead roles.",Telugu,India,
Baahubali: The Beginning,2015,09-Jul-15,"Action, Drama",S.S. Rajamouli,"Prabhas, Rana Daggubati, Anushka Shetty","When Sanga and her husband, part of a tribe living around the province of Mahismathi, save a drowning infant, little do they know the background of the infant or what the future holds for him. The kid grows up to as Shivudu, a free-spirit wanting to explore the mountains and in the process learns of his roots and then realizes the whole purpose of his life and ends up confronting the mighty Bhallala Deva!","Telugu, Tamil",India,8
James Bond,2015,24-Jul-15,"Action, Comedy","Vasil Kacarov, Sai Kishore Macha","Allari Naresh, Sakshi Chaudhary, Ashish Vidyarthi",Nani (Allari Naresh) is a trepid and fearful guy who works as a software engineer. Bullet (Sakshi Chaudhary) is a mafia don in Dubai. Her mother doesn't know about Bullet's profession. Bullet is forced to come back to India when her mother falls ill. Her mother's last wish is to get Bullet married. That's when Nani falls in love at first sight with Bullet when she visits a temple wearing a traditional dress. Rest of the story is all about what happens when a coward like Nani marries a gangster girl without knowing her real profession.,Telugu,India,5.5
Srimanthudu,2015,07-Aug-15,"Action, Drama",Koratala Siva,"Mahesh Babu, Shruti Haasan, Jagapathi Babu","The simple yet, inspiring tale of Srimanthudu is about the scion of a wealthy business family, who is disinterested in merely making money. His thoughts and later circumstances move him to adopt a nondescript village and develop it against various odds. A wealthy entrepreneur (Jagapathi Babu) is a worried lot owing to his son's (Mahesh Babu) indifferent and aloof attitude. He wishes his son to acquire and continue the monumental business empire that he built over his lifetime. But, the latter does not agree to it, stating that he wishes to acquire respect first. His thoughts lie elsewhere. He meets a girl (Shruthi Haasan) and they soon fall in love owing to the similarity in their thoughts. However, when she gets to know his identity, she simply ignores him. When confronted, she chides him that he is too rich and does not even know the place of his birth. She is later revealed to be the daughter of a benevolent village head (Dr Rajendra Prasad). Incidentally that is the same village. Later, the hero visits and adopts the village, financing and taking active part in construction of a school, roads etc. This brings him an inevitable clash with a selfish union minister and his brother, who grip the village in a reign of terror and fear. How the hero convinces his father and embarks on a difficult path forms thus, the crux of the story.",Telugu,India,7.5
Kick 2,2015,21-Aug-15,"Action, Comedy, Romance","Surender Reddy, Gogu","Ravi Teja, Rakul Preet Singh, Rajsekhar Aningi","Kick 2 maintained the basic essence of its prequel but has a taken a different route in the lead character's portrayal. While it's all about Kick in the previous version, now you got to meet a person who put his comfort on the top. Where did his obsession for comfort take him? What role does Vilaspur village and its people play in his life? Did he stand for his comfort through out? This forms the crux of the story.",Telugu,India,5
Best Actors,2015,28-Aug-15,Romance,Arun Pawar,"Varshini Sounderajan, Nyra Banerjee, Kesha Khambhati","Four close friends Nandu, Madhu, Abhi and Krishna who go on a holiday trip to Goa and spot two enticing beauties Jaya Sudha and Jaya Pradha and start wooing them. The twist in the tale arises when these girls reveal that one of th...",Telugu,India,
Dynamite,2015,03-Sep-15,"Action, Thriller",Deva Katta,"Vishnu Manchu, Pranitha, J.D. Chakravarthi",Dynamite is the official remake of Tamil film Arima Nambi. The story revolves around the kidnapping of a girl and how the hero tries to hunt down the criminals and save her.,Telugu,India,6
Bhale Bhale Magadivoy,2015,03-Sep-15,"Comedy, Romance",Maruthi Dasari,"Nani, Lavanya Tripathi, Murli Sharma","Lucky is an absent minded scientist, and has a bitter experience with the father of the girl he falls in love with. Her father hates people with any impairment. But when the girl reciprocates his feelings, Lucky is in a dilemma about facing her father. What Lucky does now is the rest of the story.",Telugu,India,7.7
Courier Boy Kalyan,2015,17-Sep-15,"Action, Romance, Thriller",Premsai,"Nithiin, Yami Gautam, Nassar",A courier boy's life turn into unexpected consequences because of a courier received from a social service activist.,Telugu,India,5.4
Subramanyam for Sale,2015,24-Sep-15,Comedy,Harish Shankar,"Sai Dharam Tej, Regina Cassandra, Adah Sharma",Seetha (Regina Cassandra) runs away from her home and lands up in America to marry her boyfriend Abhi. Unfortunately she was dumped by her boyfriend. Then Subramanyam (Sai Dharam Tej) gives her hope and courage. They pose as a married couple and win $25000 from NRI Rajashekar (Nagababu). Later Seetha ' s sister marriage is fixed. She was very afraid to tell truth to their family. Subramanyam also comes with her. Later Govind 's men chase them but Subramanyam warns them. After going to Seetha 's home they realise that the wedding was fixed with the son of NRI Rajashekar. The rest of the story is who is Govind? And how Subramanyam manages the situation is shown in a comical and hilarious way,Telugu,India,6
Chandrika,2015,25-Sep-15,"Horror, Thriller","Yogesh Munisiddappa, Nallibilli Venkatesh","Chikkanna, Karthik Jayaram, Kamna Jethmalani",A painter moves into a haunted mansion with his wife. The spirit takes over his wife's body and begins to lead him to a his past. Why does the trapped soul seek revenge? Is there a love story that remains unfinished?,"Kannada, Telugu",India,
Shivam,2015,02-Oct-15,"Action, Comedy, Romance",Sreenivasa Reddy,"Ram Pothineni, Raashi Khanna, V.K. Naresh",The story of a boy (Ram) who wants to make his love life and marriage a success.,Telugu,India,5.4
Rudhramadevi,2015,18-Oct-15,"Action, Biography, Drama",Gunasekhar,"Anushka Shetty, Allu Arjun, Rana Daggubati","Rudraba, daughter of Ganapatideva, the emperor of the Kakatiya dynasty, was officially designated a son through the ancient Putrika ceremony and given the name Rudradeva so that she could succeed her father after his death. Despite opposition, she became of the most prominent rulers of the Kakatiya dynasty and one of the few ruling queens in Indian history.",Telugu,India,5.6
Bruce Lee - The Fighter,2015,15-Oct-15,"Action, Comedy",Sreenu Vaitla,"Ram Charan, Rakul Preet Singh, Mohammad Ali",A stuntman is mistaken for a police officer by an idealistic woman and begins fighting crime on behalf of the police.,Telugu,India,5.5
Kanche,2015,23-Oct-15,"Action, Drama, War",Radha Krishna Jagarlamudi,"Varun Tej, Pragya Jaiswal, Srinivas Avasarala","A rivalry between two men, based on caste and social status, extends from an Indian village to war torn Europe during WW2.",Telugu,India,7.9
Columbus,2015,22-Oct-15,Comedy,R. Samala,"Sumanth Ashwin, Roshan Basheer, Mishti Chakravarty","Ashwin(Sumanth Ashwin) is a college going youth who falls in love with Indu(Mishti). As time passes by, Ashwin leaves all his career goals behind and lives life with only Indu's point of view. This nature of his irritates Indu big time and she ignores him completely and heads off to Delhi. A disappointed Ashwin follows her to Delhi. Incidentally, he gets mixed up in a murder mystery and is arrested. By the time he gets out, Indu has left him for good. This is also the time when he comes across Neeraja(Seerat Kapoor) who promises him to help find Indu. Twist in the tale arises when both Neeraja and Ashwin start getting close to each other. What will Ashwin do now? Whom will he end up with finally?",Telugu,India,6.3
Raju Gari Gadhi,2015,22-Oct-15,Horror,Omkar,"Ashwin Babu, Dhanya Balakrishna, Chethan Cheenu","There is a haunted house in Nandigama. Dead bodies of 34 people resurface in house's well over a period of time. A TV channel plans to host a reality show in that haunted house. Group of seven individuals Ashwin Ashwin Babu, Nandu Chethan Cheenu, Barbie (Eshanya), Su Dhanya Balakrishna, Shivudu Dhanraj, M Y Danam (Shankar) and Bujjimma (Vidyulekka) are selected for a Television reality show ""Dhayyam tho 7 rojulu, Pattukunte 3 kottulu"" (Those who spends 7 days in this haunted Nandigama palace and survive will get Rs. 3 crores). Program head Pakoddi (Prabhas Seenu) and Chekodi (Raghu Babu) have arranged all kinds of scares for the contestants, but the ghosts of the palace Bommali (Poorna) and Bommali Raja Posani Krishna Murali put on their own show. Rest of the story is all about the mystery behind Raju Gari Gadhi.",Telugu,India,5
Sher,2015,29-Oct-15,"Action, Comedy, Crime",Mallikarjuna Malli,"Nandamuri Kalyan Ram, Sonal Chauhan, Vikramjeet Virk",A working-class hero with the heart of a tiger rubs a gangster the wrong way; the two struggle for dominance for the duration of the movie.,Telugu,India,5
Tripura,2015,24-Jul-15,"Comedy, Horror",Raaja Kiran,"Naveen Chandra, Pranab Kr Nath, Rao Ramesh","Tripura is a story is about village background. Tripura (Swathi) is village girl who has weird dreams and all those dreams come true. Tripura is taken to Hyderabad for her treatment about the dreams. There she meets a doctor played by Naveen Chandra and they both fall in love. Naveen Chandra's friend goes missing. As time passes by, Tripura continues to get these dreams, until one day where she sees herself killing Naveen with a knife. What kind of situations they encounter post their marriage makes the remaining story.",Telugu,India,5.6
Akhil,2015,10-Nov-15,"Action, Fantasy, Romance",V.V. Vinayak,"Akhil Akkineni, Sayyeshaa Saigal, Rajendra Prasad","A fearless often falls in love and follows his girlfriend to Europe, only to learn that she is kidnapped. When he tries to save her, he finds himself becoming the Savior of JuA, a powerful stone that can protect humankind. Can he fulfill his great destiny?",Telugu,India,3.8
Kumari 21F,2015,20-Nov-15,"Drama, Romance",Palnati Surya Pratap,"Raj Tarun, Hebah Patel, Noel Sean","Set in a backdrop of a small locality in India, young couple fall in love with each other with girl being highly matured and guy being over possessive, which leads to enough twists and turns in their love journey along with three other notorious friends.",Telugu,India,7.7
Size Zero,2015,27-Nov-15,"Comedy, Romance",Prakash Kovelamudi,"Anushka Shetty, Arya, Sonal Chauhan","Soundarya aka sweety (Anushka Shetty) is a carefree working girl, who is a foodie and enjoys her life to the fullest. But her mother (Urvashi) is worried about her obese daughter and all the grooms that she finds reject Sweety as she is fat. Frustrated by all the rejections, Sweety says ""No"" to Abhi (Arya) who is apparently smitten by her innocence and kindheartedness. Later, Abhi falls in love with a fitness freak Simran (Sonal Chauhan). But slowly somewhere down the lane, Sweety takes a liking for Abhi but is shattered when she realizes that he is in love with Simran. Sweety decides to join a slimming center to lose weight as advised by her mother. What happens then ?","Tamil, Telugu",India,5.5
Thanu Nenu,2015,,Comedy,Ram Mohan P.,"Ravi Babu, Avika Gor, Abhishek Maharshi",,Telugu,India,7.3
Veediki Dookudekkuva,2015,,,,,,,,
Sankarabharanam,2015,03-Dec-15,Comedy,"Kona Venkat, Uday Nandanavanam","Satya Akkala, Anjali, Raghu Babu","Sankarabharanam is a remake of the Hindi sleeper hit - Phas Gaye Re Obama. The film tells the story of an NRI from America who is on the verge of bankruptcy. He finds out that he owns a palace in India and travels there to try and sell it. However, on his arrival, he gets kidnapped and then keeps getting passed on from one gang to another for higher sums of ransom. Here starts a crazy ride of that leaves everyone involved in it completely befuddled.",Telugu,,4.8
